Code,IPv6_Capable_Pct,Mean_RTT_Diff,Samples
FR,80.14,-5.99,4435100
IN,79.09,-8.92,25742834
BL,78.61,-3.22,52
MY,70.85,7.48,1632007
SA,70.74,-12.18,1504955
BE,69.51,-5.73,537840
DE,67.04,-5.06,2470671
TV,66.4,-6.13,466
IL,62.83,-133.24,566829
VN,61.71,-5.8,3594844
UY,61.53,0.68,242190
GT,60.86,-8.21,378099
AX,60.84,-6.34,1585
JP,59.61,-6.63,5177672
US,59.12,-8.12,17714522
NP,59.1,-0.1,565747
TW,58.92,-11.33,1047054
MX,56.14,-1.15,3715932
LK,55.88,-10.05,309706
LU,55.46,-4.15,22494
GR,54.74,-6.32,451389
BR,54.22,3.14,6818156
HU,54.18,-6.67,440254
CN,53.94,-2.98,1389857
MO,53.7,-2.85,25361
AE,51.29,-43.07,205200
GB,50.18,-2.2,1953227
KI,49.85,26.68,2737
NO,49.72,-1.66,180099
TH,49.63,-6.21,985265
FI,49.61,-5.79,201256
PR,48.08,1.97,103462
NR,47.26,6.04,483
EE,46.68,-5.29,47744
BO,46.03,30.92,355514
AU,45.25,-14.61,384775
MN,45.25,0.81,79392
CH,43.87,-4.27,190393
SR,43.16,-38.54,32239
CA,42.83,-6.0,1226995
DM,41.72,0.95,3292
PY,41.06,1.33,152022
IE,40.94,-3.98,142275
AT,40.73,-3.15,203317
PT,39.96,-3.84,414597
NL,39.51,-4.25,643051
DO,38.69,-8.25,229923
BZ,37.89,-7.79,14377
PE,35.71,-3.42,736268
FJ,35.51,105.5,18136
LI,35.28,-3.37,725
NI,34.42,11.27,179707
TC,32.01,-11.99,1603
AR,31.88,9.2,1284475
BT,30.89,9.37,11904
CK,30.72,-0.99,343
CZ,30.7,-5.75,266999
EC,30.49,-3.82,310374
AI,30.2,-3.15,1034
NZ,30.0,48.86,59597
KR,29.76,-11.62,827635
SE,29.57,-2.82,245079
LV,28.88,-6.83,58773
RO,27.64,-3.04,397665
BS,27.31,-3.69,10367
KW,27.3,-163.69,98509
TO,26.34,150.32,943
CG,26.34,-18.76,28135
SN,26.15,8.97,237934
TN,25.22,-16.93,283419
KZ,24.98,-99.39,581659
GY,24.61,2.6,24144
TT,24.54,-2.43,50263
GA,23.83,-10.8,37154
LT,23.7,-8.35,68360
PG,23.35,186.92,22031
PK,22.94,2.28,1332710
OM,22.82,21.21,78894
CL,22.62,-25.4,377383
BM,21.99,3.16,1836
CO,21.96,-8.82,748524
BH,21.35,54.83,20397
SV,20.89,13.73,68924
DK,20.4,-2.83,105258
PH,20.23,5.53,678316
SG,20.16,5.84,124134
JM,19.69,-2.14,32210
SX,19.35,-8.77,1242
IM,19.21,-8.14,1821
MQ,18.71,6.11,7225
BD,18.42,24.73,923531
PL,18.34,-7.08,425514
LC,17.99,25.01,2965
HN,17.97,0.71,68511
IR,17.95,-40.8,37471
JO,17.87,-115.47,121683
IT,17.76,-6.24,638965
MV,17.61,20.22,9399
ID,17.24,6.37,2199851
BG,17.14,7.42,133191
TG,17.01,-9.13,32958
BB,16.94,2.06,7603
CY,16.7,-99.09,21295
MD,16.23,-3.12,44394
TR,16.17,-143.97,795937
YT,15.35,-26.63,520
AO,15.27,-29.73,72013
CR,15.24,-7.27,86621
UA,15.17,-14.06,525612
SS,14.81,-19.27,3994
BY,13.71,5.58,152600
GE,13.33,-97.45,38271
MH,13.08,-1.85,254
UZ,13.01,8.56,208265
CI,12.82,-2.83,165467
ZW,12.81,31.72,37157
IS,12.72,-2.8,4362
AL,12.59,9.33,61881
MF,12.18,2.88,87
BF,11.74,-6.44,35646
SI,11.46,4.34,19468
ML,11.36,0.72,36941
BA,10.93,-10.9,48071
NC,10.55,95.35,1058
RW,9.86,-15.87,15370
SK,9.82,-5.96,35602
GW,9.73,-10.22,756
AF,9.55,10.55,29501
ES,9.52,-4.34,345153
MM,9.46,-1.47,14752
CW,9.37,14.43,1765
SB,9.26,3.98,876
AM,8.91,-158.43,24463
SD,8.6,17.79,42064
VI,8.55,6.48,601
VG,8.46,19.39,387
HK,7.38,25.34,30340
BW,7.09,0.74,4592
RS,6.63,-3.67,60777
TD,6.58,11.13,7522
VU,6.57,-26.08,21
NE,6.38,31.32,8305
GP,6.31,-7.41,1847
RE,5.92,-8.77,4132
MP,5.91,-7.63,86
FM,5.89,-6.4,407
HT,5.63,17.35,18096
HR,5.42,1.98,13813
VE,5.26,54.3,169686
GD,5.11,23.67,687
YE,4.67,35.66,4285
EG,4.55,-18.49,311597
PA,4.31,-4.45,12173
NG,4.14,27.97,162654
TL,3.85,6.41,778
MG,3.82,21.29,3521
WS,3.41,-3.18,238
CD,3.23,-1.61,33596
KG,3.23,99.03,20972
RU,3.18,-15.22,1594
GU,2.86,-5.64,341
ZA,2.59,-0.77,43204
ZM,2.33,10.03,7593
LR,2.0,3.13,3429
SC,1.94,71.97,265
BI,1.9,-29.11,1285
MZ,1.82,15.38,6025
NA,1.67,-2.98,1004
BJ,1.66,-4.24,4928
TZ,1.59,-1.8,15332
UG,1.52,-12.73,12233
CV,1.51,-11.4,574
CM,1.46,15.82,7761
SZ,1.41,-9.98,643
PF,1.36,39.11,278
MR,1.29,-3.79,2018
KE,1.13,23.31,17133
LY,1.11,4.0,6625
AS,1.01,-20.14,75
AG,0.87,-4.94,93
IQ,0.83,69.41,32701
GH,0.7,29.01,13380
SL,0.7,-2.08,2552
NF,0.68,1.95,2
MW,0.63,-15.73,1334
MA,0.62,-8.01,8331
VC,0.52,-7.74,56
SO,0.51,28.39,1806
GF,0.48,-56.7,42
MU,0.38,-17.65,362
GG,0.38,-2.58,50
MC,0.36,-10.13,25
JE,0.36,7.61,51
LB,0.36,-59.58,2698
KY,0.35,15.76,66
SY,0.32,41.9,2090
ST,0.27,-63.7,4
CF,0.25,-8.14,22
BN,0.2,30.31,197
PS,0.18,24.23,880
WF,0.17,-21.37,3
DZ,0.17,6.8,6042
MT,0.17,-3.92,127
KH,0.16,16.58,1235
BQ,0.16,-2.79,13
PW,0.14,-16.97,7
AD,0.13,1.92,44
MK,0.12,0.48,415
DJ,0.12,-17.73,57
LA,0.1,64.76,225
ET,0.1,-9.68,1414
KN,0.1,-21.79,20
FO,0.09,-8.49,24
LS,0.09,-55.62,45
GQ,0.08,-8.1,12
TJ,0.07,13.79,142
ME,0.07,-3.0,155
AZ,0.07,-33.63,990
AW,0.07,12.22,22
SM,0.06,28.46,3
GM,0.05,-8.98,59
GI,0.05,-3.79,7
GN,0.04,-7.43,299
CU,0.04,-58.78,105
TM,0.04,-43.09,1
KM,0.03,-43.59,9
GL,0.03,2.59,12
PM,0.03,-0.89,1
