Code,IPv6_Capable_Pct,Mean_RTT_Diff,Samples
FR,80.11,-5.99,4435100
BL,79.75,-3.22,52
IN,79.08,-8.92,25742834
MY,70.8,7.48,1632007
SA,70.79,-12.18,1504955
BE,69.51,-5.73,537840
DE,67.0,-5.06,2470671
TV,66.72,-6.13,466
IL,62.82,-133.24,566829
VN,61.63,-5.8,3594844
UY,61.41,0.68,242190
AX,61.02,-6.34,1585
GT,60.88,-8.21,378099
JP,59.57,-6.63,5177672
US,59.09,-8.12,17714522
NP,59.06,-0.1,565747
TW,58.79,-11.33,1047054
MX,56.11,-1.15,3715932
LK,55.88,-10.05,309706
LU,55.31,-4.15,22494
GR,54.73,-6.32,451389
BR,54.24,3.14,6818156
HU,54.21,-6.67,440254
CN,53.8,-2.98,1389857
MO,53.8,-2.85,25361
AE,51.25,-43.07,205200
GB,50.14,-2.2,1953227
NO,49.77,-1.66,180099
FI,49.61,-5.79,201256
KI,49.58,26.68,2737
TH,49.54,-6.21,985265
NR,48.29,6.04,483
PR,47.91,1.97,103462
EE,46.76,-5.29,47744
BO,46.0,30.92,355514
AU,45.28,-14.61,384775
MN,45.08,0.81,79392
CH,43.77,-4.27,190393
SR,43.49,-38.54,32239
CA,42.92,-6.0,1226995
DM,41.36,0.95,3292
PY,41.02,1.33,152022
IE,40.9,-3.98,142275
AT,40.66,-3.15,203317
PT,40.13,-3.84,414597
NL,39.56,-4.25,643051
DO,38.76,-8.25,229923
BZ,37.7,-7.79,14377
PE,35.71,-3.42,736268
FJ,35.68,105.5,18136
LI,35.63,-3.37,725
NI,34.44,11.27,179707
AR,31.89,9.2,1284475
TC,31.62,-11.99,1603
CK,31.3,-0.99,343
BT,30.78,9.37,11904
CZ,30.72,-5.75,266999
EC,30.45,-3.82,310374
AI,30.11,-3.15,1034
NZ,29.92,48.86,59597
KR,29.77,-11.62,827635
SE,29.6,-2.82,245079
LV,28.8,-6.83,58773
RO,27.51,-3.04,397665
KW,27.37,-163.69,98509
BS,27.18,-3.69,10367
TO,27.15,150.32,943
CG,26.36,-18.76,28135
SN,26.26,8.97,237934
TN,25.2,-16.93,283419
KZ,24.99,-99.39,581659
GY,24.54,2.6,24144
TT,24.47,-2.43,50263
LT,23.73,-8.35,68360
GA,23.69,-10.8,37154
PG,23.15,186.92,22031
PK,22.88,2.28,1332710
OM,22.72,21.21,78894
CL,22.6,-25.4,377383
BM,22.35,3.16,1836
CO,21.95,-8.82,748524
BH,21.34,54.83,20397
SV,20.84,13.73,68924
DK,20.38,-2.83,105258
PH,20.24,5.53,678316
SG,20.0,5.84,124134
JM,19.37,-2.14,32210
SX,19.13,-8.77,1242
LC,18.93,25.01,2965
IM,18.88,-8.14,1821
MQ,18.83,6.11,7225
PL,18.35,-7.08,425514
BD,18.32,24.73,923531
HN,18.0,0.71,68511
IR,17.99,-40.8,37471
JO,17.86,-115.47,121683
IT,17.79,-6.24,638965
MV,17.73,20.22,9399
BG,17.24,7.42,133191
ID,17.23,6.37,2199851
TG,17.0,-9.13,32958
BB,16.95,2.06,7603
CY,16.71,-99.09,21295
MD,16.27,-3.12,44394
TR,16.14,-143.97,795937
AO,15.31,-29.73,72013
SS,15.29,-19.27,3994
CR,15.25,-7.27,86621
UA,15.22,-14.06,525612
YT,14.92,-26.63,520
BY,13.73,5.58,152600
MH,13.5,-1.85,254
GE,13.34,-97.45,38271
ZW,13.17,31.72,37157
UZ,13.0,8.56,208265
CI,12.87,-2.83,165467
AL,12.58,9.33,61881
IS,12.57,-2.8,4362
MF,12.41,2.88,87
BF,11.64,-6.44,35646
SI,11.51,4.34,19468
ML,11.46,0.72,36941
BA,10.93,-10.9,48071
NC,10.75,95.35,1058
RW,9.88,-15.87,15370
GW,9.84,-10.22,756
SK,9.8,-5.96,35602
SB,9.78,3.98,876
AF,9.65,10.55,29501
ES,9.51,-4.34,345153
CW,9.5,14.43,1765
MM,9.46,-1.47,14752
SD,8.86,17.79,42064
AM,8.84,-158.43,24463
VI,8.74,6.48,601
VG,8.09,19.39,387
VU,7.38,-26.08,21
HK,7.29,25.34,30340
BW,7.14,0.74,4592
TD,6.89,11.13,7522
NE,6.66,31.32,8305
RS,6.62,-3.67,60777
GP,6.33,-7.41,1847
FM,6.3,-6.4,407
RE,5.85,-8.77,4132
MP,5.72,-7.63,86
HT,5.62,17.35,18096
HR,5.46,1.98,13813
VE,5.26,54.3,169686
GD,4.92,23.67,687
YE,4.72,35.66,4285
EG,4.56,-18.49,311597
PA,4.3,-4.45,12173
NG,4.16,27.97,162654
MG,3.98,21.29,3521
TL,3.84,6.41,778
WS,3.45,-3.18,238
CD,3.25,-1.61,33596
KG,3.23,99.03,20972
RU,3.16,-15.22,1594
GU,3.0,-5.64,341
ZA,2.62,-0.77,43204
ZM,2.38,10.03,7593
LR,2.02,3.13,3429
BI,1.92,-29.11,1285
SC,1.89,71.97,265
MZ,1.85,15.38,6025
NA,1.82,-2.98,1004
BJ,1.67,-4.24,4928
TZ,1.64,-1.8,15332
CV,1.55,-11.4,574
UG,1.53,-12.73,12233
CM,1.46,15.82,7761
PF,1.4,39.11,278
SZ,1.4,-9.98,643
MR,1.33,-3.79,2018
KE,1.15,23.31,17133
LY,1.11,4.0,6625
AS,0.91,-20.14,75
AG,0.87,-4.94,93
IQ,0.83,69.41,32701
GH,0.72,29.01,13380
SL,0.71,-2.08,2552
MW,0.64,-15.73,1334
MA,0.63,-8.01,8331
NF,0.63,1.95,2
SO,0.52,28.39,1806
VC,0.51,-7.74,56
GF,0.46,-56.7,42
MU,0.38,-17.65,362
JE,0.37,7.61,51
LB,0.37,-59.58,2698
GG,0.37,-2.58,50
MC,0.36,-10.13,25
